Time,oscIndex1_20190603_slice7,phaseNumber_20190603_slice7,oscIndex1_20190603_slice9,phaseNumber_20190603_slice9,oscIndex1_20190604_slice2,phaseNumber_20190604_slice2,oscIndex1_20190604_slice3,phaseNumber_20190604_slice3,oscIndex1_20190604_slice4,phaseNumber_20190604_slice4,oscIndex1_20190604_slice7,phaseNumber_20190604_slice7,oscIndex1_20190606_slice1,phaseNumber_20190606_slice1,oscIndex1_20190606_slice2,phaseNumber_20190606_slice2,oscIndex1_20190606_slice3,phaseNumber_20190606_slice3,oscIndex1_20190607_slice4,phaseNumber_20190607_slice4
12 min,0.937503910468289,2,0.962651765428545,2,0.9997176950067,2,0.91757279891879,2,0.987209708090791,2,0.995750307631801,2,0.694495880484582,2,0.946803894163738,2,0.992397175563952,2,0.999269526554919,2
13 min,0.952732194156643,2,0.946621343713961,2,0.998927481547366,2,0.904370420651234,2,0.980593227273739,2,0.992149621896873,2,0.606272350754724,2,0.950874103993104,2,0.980973053344026,2,0.961867827260647,2
14 min,0.951460292824239,2,0.941412033862227,2,0.988890509466584,2,0.915511190496958,2,0.98291262948796,2,0.999559462599066,2,0.669611146346538,2,0.937803320496519,2,0.914628338404544,2,1,2
15 min,0.939870454779252,2,0.981019497193651,2,0.99338685170675,2,0.912704837162322,2,0.952882637029541,2,0.989936783608834,2,0.578964920679553,2,0.965160149306768,2,0.982683964530894,2,0.998136820375182,2
16 min,0.886662990951897,2,0.92666970134018,2,0.985785227886788,2,0.840877551868746,2,0.980458879475645,2,0.99932534202888,2,0.584550498276235,2,0.955616773908438,2,0.955366966970937,2,0.99184715427364,2
17 min,0.894156332092053,2,0.936417353751149,2,0.997543110055467,2,0.874845956037146,2,0.971443753667433,2,0.979221832868203,2,0.53878557890051,2,0.945605813033138,2,0.992857889174828,2,0.998932665692255,2
18 min,0.931051285315113,2,0.924683456512383,2,0.996304301739045,2,0.877769397692687,2,0.972791901708214,2,0.971491288353328,2,0.526201326297119,2,0.948122016350276,2,0.971613363412352,2,0.999641020359604,2
19 min,0.935424790570048,2,0.951219103216353,2,0.985878452565083,2,0.914113265085804,2,0.939449416828877,2,0.987265602414801,2,0.45775251981241,2,0.952840992724595,2,0.975917448548982,2,0.995248606726857,2
20 min,0.899609186230299,2,0.920901679077509,2,1,2,0.94729869283963,2,0.981222098497187,2,0.979407133573945,2,0.469983272766266,2,0.959913319199765,2,0.89647483678206,2,0.99405910206848,2
21 min,0.905217534527875,2,0.988686055562968,2,0.996152778795423,2,0.917667101001492,2,0.963839691774702,2,0.995550019307654,2,0.703584743384496,2,0.964005877460956,2,0.95221613060442,2,0.997333472665134,2
