Time,nSpikesPerBurst_20190603_slice7,phaseNumber_20190603_slice7,nSpikesPerBurst_20190603_slice9,phaseNumber_20190603_slice9,nSpikesPerBurst_20190604_slice2,phaseNumber_20190604_slice2,nSpikesPerBurst_20190604_slice3,phaseNumber_20190604_slice3,nSpikesPerBurst_20190604_slice4,phaseNumber_20190604_slice4,nSpikesPerBurst_20190604_slice7,phaseNumber_20190604_slice7,nSpikesPerBurst_20190606_slice1,phaseNumber_20190606_slice1,nSpikesPerBurst_20190606_slice2,phaseNumber_20190606_slice2,nSpikesPerBurst_20190606_slice3,phaseNumber_20190606_slice3,nSpikesPerBurst_20190607_slice4,phaseNumber_20190607_slice4
28 min,9.51219512195122,2,10.2222222222222,2,7.58333333333333,2,10.8421052631579,2,16.4090909090909,2,10.2903225806452,2,27.1333333333333,2,15.5925925925926,2,11,2,14.3913043478261,2
29 min,9.08163265306122,2,7.16666666666667,2,6.9,2,9.21052631578947,2,22.1333333333333,2,13.5833333333333,2,27.1176470588235,2,21.4117647058824,2,8.10526315789474,2,14,2
30 min,9.40476190476191,3,10.4166666666667,3,6.91666666666667,3,13.0714285714286,3,13.3235294117647,3,13.6923076923077,3,31.5,3,19.35,3,7.13636363636364,3,15.0689655172414,3
31 min,7.4,3,7.57894736842105,3,8.36842105263158,3,10.5789473684211,3,12,3,11.1428571428571,3,25.5,3,17.6363636363636,3,10.1764705882353,3,18.0869565217391,3
32 min,11.9459459459459,3,12.2,3,8.8,3,9.61111111111111,3,13.7777777777778,3,12.5384615384615,3,35.6923076923077,3,17.1666666666667,3,13,3,21.25,3
33 min,8.2,3,8.57142857142857,3,7.18181818181818,3,8.36842105263158,3,13,3,12.8125,3,33.8666666666667,3,17.5217391304348,3,7.84615384615385,3,17.4782608695652,3
34 min,9.89795918367347,3,8.22222222222222,3,7.38461538461539,3,7.28571428571429,3,21.3,3,16.1428571428571,3,29.4705882352941,3,15.2916666666667,3,8.95,3,12.6896551724138,3
35 min,9.06382978723404,3,8.85714285714286,3,7.1,3,13.0625,3,10.0882352941176,3,12.6666666666667,3,31.9333333333333,3,14.6666666666667,3,11,3,15.2692307692308,3
36 min,9.12195121951219,3,18,3,6.93103448275862,3,14.1818181818182,3,17.4444444444444,3,14.5,3,20.8846153846154,3,13.6153846153846,3,10.4705882352941,3,13.5357142857143,3
37 min,10.0714285714286,3,5.8,3,7.71428571428571,3,9.55,3,13.1785714285714,3,12.1428571428571,3,61.875,3,14.96,3,7.95,3,18.2380952380952,3
